kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"403830","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0258","2",9953000
"403829","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0252","2",2125860000
"403829","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0252","2",607600000
"403829","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0252","2",25200000
"403829","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0252","2",178500000
"403830","032","03212","521252","03212WA","2378","EBA","2","A","0","00000001","0258","2",63000000
"403830","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0258","2",38010000
"403879","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0222","2",40100000
"403879","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","0222","2",19200000
"403879","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0222","2",3420000
"403879","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0222","2",226059000
"403879","032","03212","521112","03212DL","2376","SAC","2","A","0","00000001","0222","2",1662330000
"403879","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0222","2",96420000
"403879","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0222","2",240000000
"403879","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0222","2",406640000
"403834","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0401","2",8012000
"403834","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0401","2",273234000
"403834","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0401","2",8160000
"403834","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","0401","2",16284000
"403834","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0401","2",152352000
"403834","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0401","2",1179878000
"403826","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","2251","2",270000000
"403826","032","03212","524114","03212WA","2378","EBA","2","A","0","00000001","2251","2",265000
"403826","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","2251","2",828986000
"403826","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","2251","2",2801000
"403826","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","2251","2",22000
